winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower,Turnover_diff_lower
Lower,,,Florida,,,,,,,,,,,,,,,,,,,,,,Oral Roberts,,,,,,,,,,,,,,,,,,,,,
Higher,,,Arkansas,,,,,,,,,,,,,,,,,,,,,,Oral Roberts,,,,,,,,,,,,,,,,,,,,,
Higher,,,Illinois,,,,,,,,,,,,,,,,,,,,,,Drexel,,,,,,,,,,,,,,,,,,,,,
Higher,,,Loyola Chicago,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
Lower,,,Illinois,,,,,,,,,,,,,,,,,,,,,,Loyola Chicago,,,,,,,,,,,,,,,,,,,,,
Lower,,,Loyola Chicago,,,,,,,,,,,,,,,,,,,,,,Oregon St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Houston,,,,,,,,,,,,,,,,,,,,,,Oregon St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,Tennessee,,,,,,,,,,,,,,,,,,,,,,Oregon St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Oklahoma St.,,,,,,,,,,,,,,,,,,,,,,Liberty,,,,,,,,,,,,,,,,,,,,,
Lower,,,Oregon St.,,,,,,,,,,,,,,,,,,,,,,Oklahoma St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,San Diego St.,,,,,,,,,,,,,,,,,,,,,,Syracuse,,,,,,,,,,,,,,,,,,,,,
Higher,,,West Virginia,,,,,,,,,,,,,,,,,,,,,,Morehead St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,West Virginia,,,,,,,,,,,,,,,,,,,,,,Syracuse,,,,,,,,,,,,,,,,,,,,,
Lower,,,Clemson,,,,,,,,,,,,,,,,,,,,,,Rutgers,,,,,,,,,,,,,,,,,,,,,
Higher,,,Houston,,,,,,,,,,,,,,,,,,,,,,Cleveland St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Houston,,,,,,,,,,,,,,,,,,,,,,Rutgers,,,,,,,,,,,,,,,,,,,,,
Higher,,,Houston,,,,,,,,,,,,,,,,,,,,,,Syracuse,,,,,,,,,,,,,,,,,,,,,
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
Higher,,,Baylor,,,,,,,,,,,,,,,,,,,,,,Houston,,,,,,,,,,,,,,,,,,,,,
Lower,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Baylor,,,,,,,,,,,,,,,,,,,,,
