winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower,Turnover_diff_lower
Higher,,,Texas Southern,,,,,,,,,,,,,,,,,,,,,,Texas A&M Corpus Chris,,,,,,,,,,,,,,,,,,,,,
Lower,,,Wyoming,,,,,,,,,,,,,,,,,,,,,,Indiana,,,,,,,,,,,,,,,,,,,,,
Higher,,,Wright St.,,,,,,,,,,,,,,,,,,,,,,Bryant,,,,,,,,,,,,,,,,,,,,,
Lower,,,Rutgers,,,,,,,,,,,,,,,,,,,,,,Notre Dame,,,,,,,,,,,,,,,,,,,,,
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Georgia St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Memphis,,,,,,,,,,,,,,,,,,,,,
Lower,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,
Higher,,,Duke,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,
Lower,,,Boise St.,,,,,,,,,,,,,,,,,,,,,,Memphis,,,,,,,,,,,,,,,,,,,,,
Lower,,,Connecticut,,,,,,,,,,,,,,,,,,,,,,New Mexico St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Arkansas,,,,,,,,,,,,,,,,,,,,,,Vermont,,,,,,,,,,,,,,,,,,,,,
