winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower,Turnover_diff_lower
Higher,,,Arkansas,,,,,,,,,,,,,,,,,,,,,,New Mexico St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,Notre Dame,,,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,
Higher,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,Montana St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,Notre Dame,,,,,,,,,,,,,,,,,,,,,
Higher,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,,Davidson,,,,,,,,,,,,,,,,,,,,,
Higher,,,Duke,,,,,,,,,,,,,,,,,,,,,,Cal St. Fullerton,,,,,,,,,,,,,,,,,,,,,
Higher,,,Duke,,,,,,,,,,,,,,,,,,,,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Duke,,,,,,,,,,,,,,,,,,,,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,
Higher,,,Baylor,,,,,,,,,,,,,,,,,,,,,,Norfolk St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,North Carolina,,,,,,,,,,,,,,,,,,,,,,Marquette,,,,,,,,,,,,,,,,,,,,,
Lower,,,Baylor,,,,,,,,,,,,,,,,,,,,,,North Carolina,,,,,,,,,,,,,,,,,,,,,
Lower,,,UCLA,,,,,,,,,,,,,,,,,,,,,,North Carolina,,,,,,,,,,,,,,,,,,,,,
Higher,,,North Carolina,,,,,,,,,,,,,,,,,,,,,,Saint Peter's,,,,,,,,,,,,,,,,,,,,,
Higher,,,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,Indiana,,,,,,,,,,,,,,,,,,,,,
Higher,,,UCLA,,,,,,,,,,,,,,,,,,,,,,Akron,,,,,,,,,,,,,,,,,,,,,
Higher,,,UCLA,,,,,,,,,,,,,,,,,,,,,,Saint Mary's,,,,,,,,,,,,,,,,,,,,,
Higher,,,Texas,,,,,,,,,,,,,,,,,,,,,,Virginia Tech,,,,,,,,,,,,,,,,,,,,,
Higher,,,Purdue,,,,,,,,,,,,,,,,,,,,,,Yale,,,,,,,,,,,,,,,,,,,,,
Higher,,,Purdue,,,,,,,,,,,,,,,,,,,,,,Texas,,,,,,,,,,,,,,,,,,,,,
Lower,,,Purdue,,,,,,,,,,,,,,,,,,,,,,Saint Peter's,,,,,,,,,,,,,,,,,,,,,
Higher,,,Murray St.,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,,,,,,,,
Lower,,,Kentucky,,,,,,,,,,,,,,,,,,,,,,Saint Peter's,,,,,,,,,,,,,,,,,,,,,
Lower,,,Murray St.,,,,,,,,,,,,,,,,,,,,,,Saint Peter's,,,,,,,,,,,,,,,,,,,,,
Higher,,,Arizona,,,,,,,,,,,,,,,,,,,,,,Wright St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,Seton Hall,,,,,,,,,,,,,,,,,,,,,,TCU,,,,,,,,,,,,,,,,,,,,,
Higher,,,Arizona,,,,,,,,,,,,,,,,,,,,,,TCU,,,,,,,,,,,,,,,,,,,,,
Lower,,,Arizona,,,,,,,,,,,,,,,,,,,,,,Houston,,,,,,,,,,,,,,,,,,,,,
Higher,,,Villanova,,,,,,,,,,,,,,,,,,,,,,Houston,,,,,,,,,,,,,,,,,,,,,
Higher,,,Houston,,,,,,,,,,,,,,,,,,,,,,UAB,,,,,,,,,,,,,,,,,,,,,
Higher,,,Illinois,,,,,,,,,,,,,,,,,,,,,,Chattanooga,,,,,,,,,,,,,,,,,,,,,
Lower,,,Illinois,,,,,,,,,,,,,,,,,,,,,,Houston,,,,,,,,,,,,,,,,,,,,,
Lower,,,Michigan,,,,,,,,,,,,,,,,,,,,,,Colorado St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,Tennessee,,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,,,,,,,,,,,
Higher,,,Tennessee,,,,,,,,,,,,,,,,,,,,,,Longwood,,,,,,,,,,,,,,,,,,,,,
Higher,,,Ohio St.,,,,,,,,,,,,,,,,,,,,,,Loyola Chicago,,,,,,,,,,,,,,,,,,,,,
Higher,,,Villanova,,,,,,,,,,,,,,,,,,,,,,Delaware,,,,,,,,,,,,,,,,,,,,,
Higher,,,Villanova,,,,,,,,,,,,,,,,,,,,,,Ohio St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Villanova,,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Texas Southern,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Creighton,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Providence,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Miami FL,,,,,,,,,,,,,,,,,,,,,
Lower,,,San Diego St.,,,,,,,,,,,,,,,,,,,,,,Creighton,,,,,,,,,,,,,,,,,,,,,
Lower,,,Iowa,,,,,,,,,,,,,,,,,,,,,,Richmond,,,,,,,,,,,,,,,,,,,,,
Higher,,,Providence,,,,,,,,,,,,,,,,,,,,,,South Dakota St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Providence,,,,,,,,,,,,,,,,,,,,,,Richmond,,,,,,,,,,,,,,,,,,,,,
Lower,,,LSU,,,,,,,,,,,,,,,,,,,,,,Iowa St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,
Lower,,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,Iowa St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Miami FL,,,,,,,,,,,,,,,,,,,,,,Iowa St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,USC,,,,,,,,,,,,,,,,,,,,,,Miami FL,,,,,,,,,,,,,,,,,,,,,
Higher,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Jacksonville St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Miami FL,,,,,,,,,,,,,,,,,,,,,
Lower,,,Duke,,,,,,,,,,,,,,,,,,,,,,North Carolina,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Villanova,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,North Carolina,,,,,,,,,,,,,,,,,,,,,
